"id","Name","Amount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","CBA07 INNOTECH VENTURES INC. (MEDELLIN COCKPIT ARENA)-ARENA","","December 7, 2021 4:47 PM","459476","401096","860572","797524","0","43028.6","67483","67483","800","0","0","8156","0","7356","163.12","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","17374.56","0","0","0","0","0","0","0","","","","Gallo/Inno","0","0"
"36","CBA08 BORBON RECREATIONAL CENTER (GALLERA DE BORBON)-ARENA","","December 7, 2021 4:47 PM","531877","377393","909270","819826","0","45463.5","38664","38664","0","0","0","2465","0","2465","49.3","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","18234.7","0","0","0","0","0","0","0","","","","NOT","0","0"
"37","CBA09 SUGARLAND ARENA-ARENA","","December 7, 2021 4:47 PM","461351","484530","945881","903872","4431","47294.05","39042","39042","0","0","0","1300","0","1300","26","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","4431","0","23374.62","0","0","0","0","0","0","0","","","","NOT","0","0"
"38","CBA11 R.T. DAPCO-ARENA","","December 7, 2021 4:47 PM","519464","612441","1131905","1127097","0","56595.25","41310","41310","0","0","0","1310","0","1310","26.2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","22664.3","0","0","0","0","0","0","0","","","","NOT","0","0"
"39","CBA12 CHARCEL RESTOBAR (SIDLAK SA BANTAYAN HOLDINGS CORP.)-ARENA","","December 7, 2021 4:47 PM","793157","736225","1529382","1464329","201","76469.1","149934","149353","0","0","581","400","0","400","8","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","782","0","31377.64","0","0","0","0","0","0","0","","","","NOT","0","0"
"40","CBA13 CONSOLACION COCKPIT ARENA, INC.-ARENA","","December 7, 2021 4:47 PM","215230","233415","448645","412050","192","22432.25","36910","36910","0","0","0","970","0","970","19.4","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","192","0","9184.3","0","0","0","0","0","0","0","","","","NOT","0","0"
"41","CNA01 UNITED DAET COLISEUM-ARENA","","December 7, 2021 4:47 PM","1077365","1110618","2187983","1948868","2050","109399.15","116353","114303","0","0","0","3750","0","3750","75","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","2050","0","45913.6","0","0","0","0","0","600","1173","","","","NOT","1447","0"
"42","CNA02 FORTUNE 8 BETTING STATION (SAN ROQUES CALAYOS COCKPIT ARENA)-ARENA","","December 7, 2021 4:47 PM","1054630","1731437","2786067","2714551","0","139303.35","308779","308779","5112","0","0","4599","0","-513","91.98","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","55813.32","0","0","0","0","0","0","0","","","","NOT","0","0"
"43","CSA01 RBR RED-LION BETTING STATION (RED LION COCKPIT ARENA)-ARENA","","December 7, 2021 4:47 PM","410355","377849","788204","732134","0","39410.2","80485","80485","0","0","0","466","0","466","9.32","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","15773.4","0","0","0","0","0","0","0","","","","NOT","0","0"
"44","CSA02 BAAO COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","331082","326910","657992","602574","2009","32899.6","20357","20357","1600","0","0","2100","0","500","42","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","2009","0","15210.84","0","0","0","0","0","0","0","","","","NOT","0","0"
"45","CSA03 RINCONADA CENTRAL COCKPIT-ARENA","","December 7, 2021 4:47 PM","681610","621442","1303052","1244538","258","65152.6","101563","101563","0","0","0","2550","0","2550","51","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","258","0","26370.04","0","0","0","0","0","0","0","","","","NOT","0","0"
"46","CSA05 CACERES SPORTS ARENA-ARENA","","December 7, 2021 4:47 PM","810426","787671","1598097","1563489","612","79904.85","62238","61689","800","0","549","3300","0","2500","66","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","1161","0","33188.94","0","0","0","0","0","0","0","","","","NOT","0","0"
"47","CSA06 NANAY JOVITA COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","249228","250359","499587","458470","177","24979.35","46255","46255","1600","0","0","1406","0","-194","28.12","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","177","0","10196.86","0","0","0","0","0","0","0","","","","NOT","0","0"
"48","CSA07 PILI AMUSEMENT COMPLEX-ARENA","","December 7, 2021 4:47 PM","766796","828192","1594988","1614656","1153","79749.4","149957","149957","0","0","0","7710","0","7710","154.2","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","1153","0","33206.96","0","0","0","0","0","0","0","","","","NOT","0","0"
"49","CSA08 COGAL COCKPIT COLISEUM-ARENA","","December 7, 2021 4:47 PM","487657","736528","1224185","1151851","777","61209.25","76087","76087","1600","0","0","18030","0","16430","360.6","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","777","0","25621.3","0","0","0","0","0","0","0","","","","NOT","0","0"
"50","CSA09 SAGÑAY SPORTS ARENA-ARENA","","December 7, 2021 4:47 PM","362225","386534","748759","729476","0","37437.95","55751","55751","0","0","0","1100","0","1100","22","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","14997.18","0","0","0","0","0","0","0","","","","NOT","0","0"
"51","CVA03 TALABA COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","794649","855945","1650594","1603342","2983","82529.7","102851","102851","0","0","0","1900","0","1900","38","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","2983","0","36032.88","0","0","0","0","0","0","0","","","","Gerry","0","0"
"52","CVA05 MARAGONDON COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","510154","672438","1182592","1183821","0","59129.6","74287","74287","800","0","0","3540","0","2740","70.8","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","23722.64","0","0","0","0","0","0","0","","","","NOT","0","0"
"53","CVA08 SAN ANTONIO COCKPIT ARENA-ARENA","","December 7, 2021 4:47 PM","1060314","1154831","2215145","2151935","0","110757.25","208044","208044","9600","0","0","8120","0","-1480","162.4","0","KIOSK","","2021-12-07T08:47:07.000000Z","2021-12-07T00:00:00.000000Z","0","0","44465.3","0","0","0","0","0","0","0","","","","NOT","0","0"
